drugbank-id,identifier,resource
BIOD00039,DAP001296,Therapeutic Targets Database
BIOD00039,Secretin,Wikipedia
BIOD00039,CHEMBL2103754,ChEMBL
BIOD00048,12036,Drugs Product Database (DPD)
BIOD00048,46506669,PubChem Substance
BIOD00048,PA164784024,PharmGKB
BIOD00048,P01563,UniProtKB
BIOD00048,DAP001279,Therapeutic Targets Database
BIOD00048,Peginterferon_alfa-2b,Wikipedia
BIOD00048,CHEMBL1201561,ChEMBL
BIOD00011,2433,Drugs Product Database (DPD)
BIOD00011,46507633,PubChem Substance
BIOD00011,U00096,GenBank
BIOD00011,PA448492,PharmGKB
BIOD00011,P37595,UniProtKB
BIOD00011,Asparaginase,Wikipedia
BIOD00011,CHEMBL2108989,ChEMBL
BIOD00020,12790,Drugs Product Database (DPD)
BIOD00020,46505696,PubChem Substance
BIOD00020,M16647,GenBank
BIOD00020,PA164746560,PharmGKB
BIOD00020,P01225,UniProtKB
BIOD00020,DAP001248,Therapeutic Targets Database
BIOD00020,Thyrotropin_Alfa,Wikipedia
BIOD00020,CHEMBL1201533,ChEMBL
DBSALT002413,745,Drugs Product Database (DPD)
DBSALT002413,9847,Drugs Product Database (DPD)
DBSALT002413,12787,Drugs Product Database (DPD)
DBSALT002413,22826,Drugs Product Database (DPD)
DBSALT002413,46506209,PubChem Substance
DBSALT002413,M14113,GenBank
DBSALT002413,PA164750168,PharmGKB
DBSALT002413,P00451,UniProtKB
DBSALT002413,Antihemophilic_Factor,Wikipedia
DBSALT002413,CHEMBL2108175,ChEMBL
BIOD00060,12604,Drugs Product Database (DPD)
BIOD00060,46507944,PubChem Substance
BIOD00060,D02934,KEGG Drug
BIOD00060,M55646,GenBank
BIOD00060,PA10799,PharmGKB
BIOD00060,P18510,UniProtKB
BIOD00060,DAP000095,Therapeutic Targets Database
BIOD00060,Anakinra,Wikipedia
BIOD00060,CHEMBL1201570,ChEMBL
BIOD00036,8523,Drugs Product Database (DPD)
BIOD00036,45267103,PubChem Compound
BIOD00036,46507412,PubChem Substance
BIOD00036,D04369,KEGG Drug
BIOD00036,24623445,ChemSpider
BIOD00036,PA449808,PharmGKB
BIOD00036,DAP001327,Therapeutic Targets Database
BIOD00036,Gramicidin_D,Wikipedia
BIOD00036,CHEMBL557217,ChEMBL
BIOD00091,7773,Drugs Product Database (DPD)
BIOD00091,15161,Drugs Product Database (DPD)
BIOD00091,46508774,PubChem Substance
BIOD00091,J00221,GenBank
BIOD00091,PA164754884,PharmGKB
BIOD00091,P01877,UniProtKB
BIOD00102,1199,Drugs Product Database (DPD)
BIOD00102,46504487,PubChem Substance
BIOD00102,L00153,GenBank
BIOD00102,PA164769075,PharmGKB
BIOD00102,P00750,UniProtKB
BIOD00102,DAP001197,Therapeutic Targets Database
BIOD00102,Anistreplase,Wikipedia
BIOD00102,CHEMBL2108250,ChEMBL
DB08914,20125,Drugs Product Database (DPD)
DB08914,7672,Drugs Product Database (DPD)
DB08914,7671,Drugs Product Database (DPD)
DB08914,5931,ChEBI
DB08914,46506231,PubChem Substance
DB08914,C00723,KEGG Compound
DB08914,D03230,KEGG Drug
DB08914,AY137503,GenBank
DB08914,PA164744571,PharmGKB
DB08914,Q8HXV2,UniProtKB
DB08914,DAP000802,Therapeutic Targets Database
DB08914,Insulin,Wikipedia
BIOD00019,12468,Drugs Product Database (DPD)
BIOD00019,46508657,PubChem Substance
BIOD00019,D06070,KEGG Drug
BIOD00019,L00153,GenBank
BIOD00019,PA164776757,PharmGKB
BIOD00019,P00750,UniProtKB
BIOD00019,DAP000204,Therapeutic Targets Database
BIOD00019,Tenecteplase,Wikipedia
BIOD00019,CHEMBL2108791,ChEMBL
BIOD00018,7369,Drugs Product Database (DPD)
BIOD00018,46504503,PubChem Substance
BIOD00018,X00264,GenBank
BIOD00018,PA164749406,PharmGKB
BIOD00018,P01229,UniProtKB
BIOD00018,DAP001027,Therapeutic Targets Database
BIOD00018,Menotropins,Wikipedia
BIOD00018,CHEMBL2108427,ChEMBL
BIOD00017,46507194,PubChem Substance
BIOD00017,X13274,GenBank
BIOD00017,PA164746386,PharmGKB
BIOD00017,P01579,UniProtKB
BIOD00017,DAP001286,Therapeutic Targets Database
BIOD00017,Interferon_gamma-1b,Wikipedia
BIOD00017,CHEMBL1201564,ChEMBL
DB00037,1746,Drugs Product Database (DPD)
DB00037,46506712,PubChem Substance
DB00037,J00207,GenBank
DB00037,PA164779048,PharmGKB
DB00037,P01563,UniProtKB
DB00037,DAP000801,Therapeutic Targets Database
DB00037,"Interferon_Alfa-2a,_Recombinant",Wikipedia
BIOD00061,2155,Drugs Product Database (DPD)
BIOD00061,19910,Drugs Product Database (DPD)
BIOD00061,20181,Drugs Product Database (DPD)
BIOD00061,4450,ChEBI
BIOD00061,C06944,KEGG Compound
BIOD00061,D00291,KEGG Drug
BIOD00061,10481973,ChemSpider
BIOD00061,50205291,BindingDB
BIOD00061,PA449237,PharmGKB
BIOD00061,DNC000526,Therapeutic Targets Database
BIOD00061,Desmopressin,Wikipedia
BIOD00061,CHEMBL376685,ChEMBL
BIOD00006,13301,Drugs Product Database (DPD)
BIOD00006,46507544,PubChem Substance
BIOD00006,C03378,KEGG Compound
BIOD00006,D00172,KEGG Drug
BIOD00006,M13232,GenBank
BIOD00006,PA164748389,PharmGKB
BIOD00006,P08709,UniProtKB
BIOD00006,Factor_VII,Wikipedia
BIOD00021,46506470,PubChem Substance
BIOD00021,M57765,GenBank
BIOD00021,PA164747991,PharmGKB
BIOD00021,P20809,UniProtKB
BIOD00021,DAP001287,Therapeutic Targets Database
BIOD00021,Oprelvekin,Wikipedia
BIOD00021,CHEMBL1201573,ChEMBL
BIOD00042,17147,Drugs Product Database (DPD)
BIOD00042,46506691,PubChem Substance
BIOD00042,M60828,GenBank
BIOD00042,PA164744014,PharmGKB
BIOD00042,P21781,UniProtKB
BIOD00042,DAP001026,Therapeutic Targets Database
BIOD00042,Palifermin,Wikipedia
BIOD00042,CHEMBL1201821,ChEMBL
BIOD00057,12072,Drugs Product Database (DPD)
BIOD00057,11363,Drugs Product Database (DPD)
BIOD00057,46504732,PubChem Substance
BIOD00057,C01501,KEGG Compound
BIOD00057,D00116,KEGG Drug
BIOD00057,AF529185,GenBank
BIOD00057,PA164779052,PharmGKB
BIOD00057,Q8MJ25,UniProtKB
BIOD00057,DAP001037,Therapeutic Targets Database
BIOD00057,Glucagon_recombinant,Wikipedia
BIOD00057,CHEMBL266481,ChEMBL
BIOD00082,278,Drugs Product Database (DPD)
BIOD00082,46508054,PubChem Substance
BIOD00082,M11144,GenBank
BIOD00082,PA448081,PharmGKB
BIOD00082,P60569,UniProtKB
BIOD00082,DAP001099,Therapeutic Targets Database
BIOD00082,Aldesleukin,Wikipedia
BIOD00082,CHEMBL1201438,ChEMBL
BIOD00070,12854,Drugs Product Database (DPD)
BIOD00070,46504750,PubChem Substance
BIOD00070,D02735,KEGG Drug
BIOD00070,M81186,GenBank
BIOD00070,PA164747061,PharmGKB
BIOD00070,P10844,UniProtKB
BIOD00070,DAP001272,Therapeutic Targets Database
BIOD00070,Botulinum_toxin,Wikipedia
BIOD00070,CHEMBL1201569,ChEMBL
BIOD00081,13365,Drugs Product Database (DPD)
BIOD00081,46507002,PubChem Substance
BIOD00081,J00228,GenBank
BIOD00081,PA164752253,PharmGKB
BIOD00081,P01857,UniProtKB
BIOD00081,DAP000387,Therapeutic Targets Database
BIOD00081,Omalizumab,Wikipedia
BIOD00081,CHEMBL1201589,ChEMBL
BIOD00056,15875,Drugs Product Database (DPD)
BIOD00056,7347,Drugs Product Database (DPD)
BIOD00056,46507624,PubChem Substance
BIOD00056,X00264,GenBank
BIOD00056,PA164750539,PharmGKB
BIOD00056,P01229,UniProtKB
BIOD00056,DAP001103,Therapeutic Targets Database
BIOD00056,Lutropin_alfa,Wikipedia
BIOD00056,CHEMBL1201419,ChEMBL
BIOD00054,46504444,PubChem Substance
BIOD00054,X16467,GenBank
BIOD00054,PA164743058,PharmGKB
BIOD00054,P14013,UniProtKB
BIOD00054,DAP001334,Therapeutic Targets Database
DB01310,11115,Drugs Product Database (DPD)
DB01310,12028,Drugs Product Database (DPD)
DB01310,46507498,PubChem Substance
DB01310,D04477,KEGG Drug
DB01310,PA164747059,PharmGKB
DB01310,DNC000800,Therapeutic Targets Database
DB01310,Insulin_lispro,Wikipedia
DB01310,CHEMBL1201538,ChEMBL
DB01308,12724,Drugs Product Database (DPD)
DB01308,46507981,PubChem Substance
DB01308,D03250,KEGG Drug
DB01308,PA449992,PharmGKB
DB01308,DAP001088,Therapeutic Targets Database
DB01308,CHEMBL1201497,ChEMBL
DB11249,21378,Drugs Product Database (DPD)
DB11249,46506485,PubChem Substance
DB11249,C00816,KEGG Compound
DB11249,PA449107,PharmGKB
DB11249,DAP000965,Therapeutic Targets Database
DB11249,Collagenase,Wikipedia
BIOD00090,13268,Drugs Product Database (DPD)
BIOD00090,46504490,PubChem Substance
BIOD00090,X61766,GenBank
BIOD00090,PA10176,PharmGKB
BIOD00090,Q00511,UniProtKB
BIOD00090,Rasburicase,Wikipedia
BIOD00090,CHEMBL1201594,ChEMBL
BIOD00115,13224,Drugs Product Database (DPD)
BIOD00115,59224,ChEBI
BIOD00115,25074887,PubChem Compound
BIOD00115,46505494,PubChem Substance
BIOD00115,D01685,KEGG Drug
BIOD00115,10482082,ChemSpider
BIOD00115,50369965,BindingDB
BIOD00115,PA164764506,PharmGKB
BIOD00115,DAP000096,Therapeutic Targets Database
BIOD00115,Cetrorelix,Wikipedia
BIOD00115,CHEMBL1200490,ChEMBL
BIOD00049,13356,Drugs Product Database (DPD)
BIOD00049,46504982,PubChem Substance
BIOD00049,D02597,KEGG Drug
BIOD00049,J00228,GenBank
BIOD00049,PA10004,PharmGKB
BIOD00049,P01857,UniProtKB
BIOD00049,DAP000392,Therapeutic Targets Database
BIOD00049,Adalimumab,Wikipedia
BIOD00049,CHEMBL1201580,ChEMBL
DB06417,7364,Drugs Product Database (DPD)
DB06417,46506010,PubChem Substance
DB06417,AF374232,GenBank
DB06417,PA451446,PharmGKB
DB06417,P58756,UniProtKB
DB06417,DAP001054,Therapeutic Targets Database
DB06417,Somatropin_recombinant,Wikipedia
DB06417,CHEMBL1201621,ChEMBL
BIOD00026,11365,Drugs Product Database (DPD)
BIOD00026,46508744,PubChem Substance
BIOD00026,D02810,KEGG Drug
BIOD00026,M16328,GenBank
BIOD00026,PA164742934,PharmGKB
BIOD00026,P04062,UniProtKB
BIOD00026,Imiglucerase,Wikipedia
BIOD00026,CHEMBL1201632,ChEMBL
BIOD00041,61,Drugs Product Database (DPD)
BIOD00041,46505910,PubChem Substance
BIOD00041,D02778,KEGG Drug
BIOD00041,PA448006,PharmGKB
BIOD00041,DAP000473,Therapeutic Targets Database
BIOD00041,Abciximab,Wikipedia
BIOD00041,CHEMBL1201584,ChEMBL
BIOD00068,12084,Drugs Product Database (DPD)
BIOD00068,46505655,PubChem Substance
BIOD00068,M11228,GenBank
BIOD00068,PA131548935,PharmGKB
BIOD00068,P04070,UniProtKB
BIOD00068,DAP000151,Therapeutic Targets Database
BIOD00068,Drotrecogin_alfa,Wikipedia
BIOD00077,46505767,PubChem Substance
BIOD00077,PA164749431,PharmGKB
BIOD00077,DAP000390,Therapeutic Targets Database
BIOD00077,Gemtuzumab_ozogamicin,Wikipedia
BIOD00077,CHEMBL1201506,ChEMBL
BIOD00108,46505873,PubChem Substance
BIOD00108,PA164745371,PharmGKB
BIOD00108,DAP001299,Therapeutic Targets Database
BIOD00108,CHEMBL1743091,ChEMBL
BIOD00002,7762,Drugs Product Database (DPD)
BIOD00002,46506364,PubChem Substance
BIOD00002,K01396,GenBank
BIOD00002,PA10308,PharmGKB
BIOD00002,P01009,UniProtKB
BIOD00002,DAP001102,Therapeutic Targets Database
BIOD00002,Alpha_1-antitrypsin,Wikipedia
BIOD00079,11706,Drugs Product Database (DPD)
BIOD00079,46505366,PubChem Substance
BIOD00079,U00096,GenBank
BIOD00079,PA164760860,PharmGKB
BIOD00079,P37595,UniProtKB
BIOD00079,Pegaspargase,Wikipedia
BIOD00079,CHEMBL2108546,ChEMBL
BIOD00093,11746,Drugs Product Database (DPD)
BIOD00093,46504899,PubChem Substance
BIOD00093,V00534,GenBank
BIOD00093,PA450037,PharmGKB
BIOD00093,P01574,UniProtKB
BIOD00093,DAP001282,Therapeutic Targets Database
BIOD00093,Interferon_beta-1a,Wikipedia
BIOD00093,CHEMBL1201562,ChEMBL
BIOD00100,46508490,PubChem Substance
BIOD00100,AF280603,GenBank
BIOD00100,PA450831,PharmGKB
BIOD00100,P56658,UniProtKB
BIOD00100,Pegademase_bovine,Wikipedia
BIOD00100,CHEMBL1201514,ChEMBL
DB00064,7867,Drugs Product Database (DPD)
DB00064,3275,Drugs Product Database (DPD)
DB00064,46509098,PubChem Substance
DB00064,M12523,GenBank
DB00064,PA164743293,PharmGKB
DB00064,P02768,UniProtKB
DB00064,Serum_albumin,Wikipedia
DB00064,CHEMBL1201451,ChEMBL
BIOD00063,11891,Drugs Product Database (DPD)
BIOD00063,46505459,PubChem Substance
BIOD00063,PA449483,PharmGKB
BIOD00063,DAP000285,Therapeutic Targets Database
BIOD00063,Eptifibatide,Wikipedia
BIOD00063,CHEMBL1174,ChEMBL
BIOD00004,12094,Drugs Product Database (DPD)
BIOD00004,46505602,PubChem Substance
BIOD00004,J00228,GenBank
BIOD00004,PA452639,PharmGKB
BIOD00004,P01857,UniProtKB
BIOD00004,DAP000107,Therapeutic Targets Database
BIOD00004,Infliximab,Wikipedia
BIOD00004,CHEMBL1201581,ChEMBL
DB09024,11463,Drugs Product Database (DPD)
DB09024,11457,Drugs Product Database (DPD)
DB09024,22944,Drugs Product Database (DPD)
DB09024,46508818,PubChem Substance
DB09024,M16647,GenBank
DB09024,PA449693,PharmGKB
DB09024,P01225,UniProtKB
DB09024,DAP001028,Therapeutic Targets Database
DB09024,Follicle-stimulating_hormone,Wikipedia
DB09024,CHEMBL1201692,ChEMBL
DB09392,7387,Drugs Product Database (DPD)
DB09392,46505933,PubChem Substance
DB09392,C00840,KEGG Compound
DB09392,D00101,KEGG Drug
DB09392,PA451858,PharmGKB
DB09392,DAP000018,Therapeutic Targets Database
DB09392,Vasopressin,Wikipedia
DB09392,CHEMBL373742,ChEMBL
BIOD00078,172,Drugs Product Database (DPD)
BIOD00078,46504458,PubChem Substance
BIOD00078,C07901,KEGG Compound
BIOD00078,D00746,KEGG Drug
BIOD00078,V00534,GenBank
BIOD00078,PA450039,PharmGKB
BIOD00078,P01574,UniProtKB
BIOD00078,DAP001283,Therapeutic Targets Database
BIOD00078,Interferon_beta-1b,Wikipedia
BIOD00078,CHEMBL1201563,ChEMBL
BIOD00062,11856,Drugs Product Database (DPD)
BIOD00062,46505985,PubChem Substance
BIOD00062,J00207,GenBank
BIOD00062,PA164749376,PharmGKB
BIOD00062,DAP001284,Therapeutic Targets Database
BIOD00062,Interferon_alfacon-1,Wikipedia
BIOD00062,CHEMBL1201557,ChEMBL
BIOD00022,6039,Drugs Product Database (DPD)
BIOD00022,46505087,PubChem Substance
BIOD00022,L13781,GenBank
BIOD00022,PA164745713,PharmGKB
BIOD00022,P38567,UniProtKB
BIOD00022,Hyaluronidase,Wikipedia
BIOD00022,CHEMBL1201636,ChEMBL
BIOD00031,46508925,PubChem Substance
BIOD00031,AY137503,GenBank
BIOD00031,PA164781053,PharmGKB
BIOD00031,Q8HXV2,UniProtKB
BIOD00031,DAP001089,Therapeutic Targets Database
BIOD00098,11905,Drugs Product Database (DPD)
BIOD00098,46507516,PubChem Substance
BIOD00098,D03257,KEGG Drug
BIOD00098,J00228,GenBank
BIOD00098,PA451743,PharmGKB
BIOD00098,P01857,UniProtKB
BIOD00098,DAP000391,Therapeutic Targets Database
BIOD00098,Trastuzumab,Wikipedia
BIOD00098,CHEMBL1201585,ChEMBL
BIOD00014,11982,Drugs Product Database (DPD)
BIOD00014,46505820,PubChem Substance
BIOD00014,J00228,GenBank
BIOD00014,PA451261,PharmGKB
BIOD00014,P01857,UniProtKB
BIOD00014,DAP000382,Therapeutic Targets Database
BIOD00014,Rituximab,Wikipedia
BIOD00014,CHEMBL1201576,ChEMBL
BIOD00073,12027,Drugs Product Database (DPD)
BIOD00073,46505169,PubChem Substance
BIOD00073,J00228,GenBank
BIOD00073,PA164747126,PharmGKB
BIOD00073,P01857,UniProtKB
BIOD00073,DAP000388,Therapeutic Targets Database
BIOD00073,Basiliximab,Wikipedia
BIOD00073,CHEMBL1201439,ChEMBL
BIOD00005,7680,Drugs Product Database (DPD)
BIOD00005,46507837,PubChem Substance
BIOD00005,D05092,KEGG Drug
BIOD00005,PA164743097,PharmGKB
BIOD00005,DAP001301,Therapeutic Targets Database
BIOD00005,Muromonab,Wikipedia
BIOD00005,CHEMBL1201608,ChEMBL
BIOD00027,7676,Drugs Product Database (DPD)
BIOD00027,46506432,PubChem Substance
BIOD00027,PA164769030,PharmGKB
BIOD00027,Digoxin_Immune_Fab,Wikipedia
BIOD00069,12697,Drugs Product Database (DPD)
BIOD00069,46506112,PubChem Substance
BIOD00069,J00470,GenBank
BIOD00069,PA164781375,PharmGKB
BIOD00069,P01865,UniProtKB
BIOD00069,DAP000383,Therapeutic Targets Database
BIOD00069,Ibritumomab,Wikipedia
BIOD00111,20161,Drugs Product Database (DPD)
BIOD00111,600103,ChEBI
BIOD00111,16134395,PubChem Compound
BIOD00111,46504551,PubChem Substance
BIOD00111,C12013,KEGG Compound
BIOD00111,D01080,KEGG Drug
BIOD00111,10482098,ChemSpider
BIOD00111,PA164768820,PharmGKB
BIOD00111,DAP001328,Therapeutic Targets Database
BIOD00111,Daptomycin,Wikipedia
BIOD00111,CHEMBL387675,ChEMBL
DB09557,16096,Drugs Product Database (DPD)
DB09557,46506662,PubChem Substance
DB09557,J00228,GenBank
DB09557,PA164748364,PharmGKB
DB09557,P01857,UniProtKB
DB09557,DAP000384,Therapeutic Targets Database
DB09557,Tositumomab,Wikipedia
DB09557,CHEMBL1201604,ChEMBL
BIOD00044,16581,Drugs Product Database (DPD)
BIOD00044,46505507,PubChem Substance
BIOD00044,AF374232,GenBank
BIOD00044,PA164749630,PharmGKB
BIOD00044,P58756,UniProtKB
BIOD00044,DAP000286,Therapeutic Targets Database
BIOD00044,Pegvisomant,Wikipedia
BIOD00044,CHEMBL1201515,ChEMBL
BIOD00092,17056,Drugs Product Database (DPD)
BIOD00092,21616,Drugs Product Database (DPD)
BIOD00092,21617,Drugs Product Database (DPD)
BIOD00092,46505347,PubChem Substance
BIOD00092,C07946,KEGG Compound
BIOD00092,D00783,KEGG Drug
BIOD00092,X52066,GenBank
BIOD00092,PA164754825,PharmGKB
BIOD00092,P10845,UniProtKB
BIOD00092,DAP001298,Therapeutic Targets Database
BIOD00092,Botox,Wikipedia
DB05356,3173,Drugs Product Database (DPD)
DB05356,9754,Drugs Product Database (DPD)
DB05356,46504728,PubChem Substance
DB05356,D05349,KEGG Drug
DB05356,M18785,GenBank
DB05356,PA448428,PharmGKB
DB05356,P04746,UniProtKB
DB05356,Pancrelipase,Wikipedia
DB05356,CHEMBL2108074,ChEMBL
BIOD00028,5991,Drugs Product Database (DPD)
BIOD00028,46505625,PubChem Substance
BIOD00028,K02986,GenBank
BIOD00028,PA164754919,PharmGKB
BIOD00028,P00779,UniProtKB
BIOD00028,DAP001198,Therapeutic Targets Database
BIOD00028,Streptokinase,Wikipedia
BIOD00028,CHEMBL2108147,ChEMBL
BIOD00109,12491,Drugs Product Database (DPD)
BIOD00109,46507379,PubChem Substance
BIOD00109,PA164783958,PharmGKB
BIOD00109,DAP000385,Therapeutic Targets Database
BIOD00109,Alemtuzumab,Wikipedia
BIOD00109,CHEMBL1201587,ChEMBL
BIOD00037,46507500,PubChem Substance
BIOD00037,M16328,GenBank
BIOD00037,PA164748093,PharmGKB
BIOD00037,P04062,UniProtKB
BIOD00037,Alglucerase,Wikipedia
BIOD00037,CHEMBL1201633,ChEMBL
BIOD00080,20500,Drugs Product Database (DPD)
BIOD00080,46506263,PubChem Substance
BIOD00080,PA164745489,PharmGKB
BIOD00080,DAP001049,Therapeutic Targets Database
BIOD00080,Indium_(111In)_capromab_pendetide,Wikipedia
BIOD00080,CHEMBL2108285,ChEMBL
BIOD00008,13106,Drugs Product Database (DPD)
BIOD00008,46505612,PubChem Substance
BIOD00008,M74715,GenBank
BIOD00008,PA164776670,PharmGKB
BIOD00008,P35475,UniProtKB
BIOD00008,Laronidase,Wikipedia
BIOD00008,CHEMBL1201595,ChEMBL
BIOD00003,11396,Drugs Product Database (DPD)
BIOD00003,1915,Drugs Product Database (DPD)
BIOD00003,13144,Drugs Product Database (DPD)
BIOD00003,4031,ChEBI
BIOD00003,5284373,PubChem Compound
BIOD00003,46508198,PubChem Substance
BIOD00003,C05086,KEGG Compound
BIOD00003,D00184,KEGG Drug
BIOD00003,4447449,ChemSpider
BIOD00003,50022815,BindingDB
BIOD00003,PA449167,PharmGKB
